mariana@fedora:~$ ps -eo pid,ppid,stat,ni,pri,psr,pcpu,pmem,nlwp,comm --sort=-pcpu
    PID    PPID STAT  NI PRI PSR %CPU %MEM NLWP COMMAND
    857       1 SNs    -   0   2  0.0  0.0    1 alsactl
    860     814 S      0  19   8  0.0  0.0    1 avahi-daemon
    861       2 S      -  41  11  0.0  0.0    1 psimon
    958       2 I<   -20  39  10  0.0  0.0    1 kworker/R-rpciod
    959       2 I<   -20  39  11  0.0  0.0    1 kworker/R-xprtiod
   1553       1 Ss     0  19   0  0.0  0.0    1 atd
   2302    1543 Sl     0  19  11  0.0  0.0    6 docker-proxy
   2308    1543 Sl     0  19  10  0.0  0.0    7 docker-proxy
   2343    1543 Sl     0  19   5  0.0  0.0    7 docker-proxy
   2350    1543 Sl     0  19   2  0.0  0.0    7 docker-proxy
   2368    1543 Sl     0  19   4  0.0  0.0    7 docker-proxy
   2375    1543 Sl     0  19   5  0.0  0.0    6 docker-proxy
   2471    2204 Ss     0  19   4  0.0  0.0    1 postgres
   2475    2204 Ss     0  19   7  0.0  0.0    1 postgres
   2476    2204 Ss     0  19   2  0.0  0.0    1 postgres
   3902       2 I      0  19  10  0.0  0.0    1 kworker/10:2-events
   3988    3986 S      0  19   4  0.0  0.0    1 (sd-pam)
   4091    3745 Ssl+   0  19   4  0.0  0.0    4 gdm-wayland-ses
   4162    3986 Ssl    0  19   3  0.0  0.0    2 gnome-session-c
   4183    3986 Sl     0  19   4  0.0  0.0    6 gvfsd-fuse
   4263    3986 Ssl    0  19   3  0.0  0.0    5 at-spi-bus-laun
   4269    4263 S      0  19   5  0.0  0.0    1 dbus-broker-lau
   4276    3986 Ssl    0  19   5  0.0  0.0    4 xdg-permission-
   4348    3986 Sl     0  19  10  0.0  0.0    4 gsd-disk-utilit
   4459    4327 Sl     0  19   8  0.0  0.0    5 ibus-dconf
